lr-Adam,step,train_loss,epoch,val_loss_epoch,val_r2score_epoch,train_loss_epoch,train_r2score_epoch
0.001,0,,,,,,
,49,2.5465359687805176,0,,,,
,99,2.8049888610839844,0,,,,
,149,2.19977068901062,0,,,,
,199,1.796471357345581,0,,,,
,249,2.18412446975708,0,,,,
,299,1.9395626783370972,0,,,,
,349,1.6529874801635742,0,,,,
,399,1.860980749130249,0,,,,
,449,2.06068754196167,0,,,,
,456,,0,1.613551378250122,0.4096062183380127,,
,456,,0,,,2.3354508876800537,0.16284936666488647
0.001,457,,,,,,
,499,1.585686206817627,1,,,,
,549,1.564155101776123,1,,,,
,599,1.7982538938522339,1,,,,
,649,1.5978506803512573,1,,,,
,699,1.7302764654159546,1,,,,
,749,1.236891508102417,1,,,,
,799,1.1806193590164185,1,,,,
,849,1.0125422477722168,1,,,,
,899,1.4956741333007812,1,,,,
,913,,1,1.2485265731811523,0.5431677103042603,,
,913,,1,,,1.454265832901001,0.4786704182624817
0.001,914,,,,,,
,949,1.4604976177215576,2,,,,
,999,1.3521647453308105,2,,,,
,1049,1.1453388929367065,2,,,,
,1099,1.1637294292449951,2,,,,
,1149,1.2947591543197632,2,,,,
,1199,1.024780511856079,2,,,,
,1249,1.0856163501739502,2,,,,
,1299,1.1854759454727173,2,,,,
,1349,0.9535073041915894,2,,,,
,1370,,2,1.132046103477478,0.5857876539230347,,
,1370,,2,,,1.2096986770629883,0.5663563013076782
0.001,1371,,,,,,
,1399,0.7779895663261414,3,,,,
,1449,1.1395049095153809,3,,,,
,1499,1.133697748184204,3,,,,
,1549,0.9492083787918091,3,,,,
,1599,0.9131646752357483,3,,,,
,1649,1.123814344406128,3,,,,
,1699,1.0513588190078735,3,,,,
,1749,0.9756532907485962,3,,,,
,1799,1.3452718257904053,3,,,,
,1827,,3,1.0253866910934448,0.624813973903656,,
,1827,,3,,,1.1044363975524902,0.6041057109832764
0.001,1828,,,,,,
,1849,1.031943917274475,4,,,,
,1899,1.0507320165634155,4,,,,
,1949,1.193657636642456,4,,,,
,1999,1.1621286869049072,4,,,,
,2049,0.8894657492637634,4,,,,
,2099,0.8717750310897827,4,,,,
,2149,0.9516031742095947,4,,,,
,2199,1.0603184700012207,4,,,,
,2249,1.0135276317596436,4,,,,
,2284,,4,0.939486026763916,0.6562447547912598,,
,2284,,4,,,1.0345393419265747,0.6291555166244507
0.001,2285,,,,,,
,2299,0.8838661909103394,5,,,,
,2349,0.9177151322364807,5,,,,
,2399,0.9784872531890869,5,,,,
,2449,1.0010788440704346,5,,,,
,2499,0.9591963291168213,5,,,,
,2549,0.9364036321640015,5,,,,
,2599,0.9583007097244263,5,,,,
,2649,1.0243325233459473,5,,,,
,2699,0.9116299152374268,5,,,,
,2741,,5,0.9571031928062439,0.6497986912727356,,
,2741,,5,,,0.9897054433822632,0.6452327966690063
0.001,2742,,,,,,
,2749,0.9500380158424377,6,,,,
,2799,0.9101080298423767,6,,,,
,2849,0.9351446032524109,6,,,,
,2899,1.0203282833099365,6,,,,
,2949,0.9561347365379333,6,,,,
,2999,1.0240262746810913,6,,,,
,3049,0.8861089944839478,6,,,,
,3099,0.8314019441604614,6,,,,
,3149,0.800322949886322,6,,,,
,3198,,6,0.9291481971740723,0.6600273847579956,,
,3198,,6,,,0.9384750723838806,0.6635902523994446
0.001,3199,,,,,,
,3199,0.8781791925430298,7,,,,
,3249,0.9060173034667969,7,,,,
,3299,1.053220510482788,7,,,,
,3349,1.0257306098937988,7,,,,
,3399,0.949748694896698,7,,,,
,3449,0.8490431308746338,7,,,,
,3499,0.9060511589050293,7,,,,
,3549,0.9810677170753479,7,,,,
,3599,0.8765937685966492,7,,,,
,3649,0.8477001786231995,7,,,,
,3655,,7,0.9796200394630432,0.6415598392486572,,
,3655,,7,,,0.9034141302108765,0.6761583089828491
0.001,3656,,,,,,
,3699,1.040230631828308,8,,,,
,3749,0.9828203916549683,8,,,,
,3799,1.010895013809204,8,,,,
,3849,1.0078580379486084,8,,,,
,3899,0.9558119773864746,8,,,,
,3949,0.8854544162750244,8,,,,
,3999,0.8705713152885437,8,,,,
,4049,1.1047323942184448,8,,,,
,4099,1.0169380903244019,8,,,,
,4112,,8,0.9427308440208435,0.6550574898719788,,
,4112,,8,,,0.8614205718040466,0.6912031173706055
0.001,4113,,,,,,
,4149,0.7866790890693665,9,,,,
,4199,0.9998133778572083,9,,,,
,4249,0.711499810218811,9,,,,
,4299,0.9047302007675171,9,,,,
,4349,0.8806229829788208,9,,,,
,4399,0.7313113212585449,9,,,,
,4449,0.9801706671714783,9,,,,
,4499,0.8348612189292908,9,,,,
,4549,0.8602447509765625,9,,,,
,4569,,9,0.9387062788009644,0.6565300822257996,,
,4569,,9,,,0.817064106464386,0.7071149349212646
0.0001,4570,,,,,,
,4599,0.7499786019325256,10,,,,
,4649,0.6334167122840881,10,,,,
,4699,0.7432818412780762,10,,,,
,4749,0.6424168348312378,10,,,,
,4799,0.7522385120391846,10,,,,
,4849,0.8525607585906982,10,,,,
,4899,0.8907136917114258,10,,,,
,4949,0.5531642436981201,10,,,,
,4999,0.6543395519256592,10,,,,
,5026,,10,0.9128234386444092,0.6660005450248718,,
,5026,,10,,,0.732955276966095,0.7372585535049438
0.0001,5027,,,,,,
,5049,0.6482504606246948,11,,,,
,5099,0.5397552251815796,11,,,,
,5149,0.957015872001648,11,,,,
,5199,0.712658166885376,11,,,,
,5249,0.6606227159500122,11,,,,
,5299,0.8222168684005737,11,,,,
,5349,0.9069883823394775,11,,,,
,5399,0.7458387017250061,11,,,,
,5449,0.5575606822967529,11,,,,
,5483,,11,0.9410346746444702,0.6556781530380249,,
,5483,,11,,,0.7077192664146423,0.7463164329528809
0.0001,5484,,,,,,
,5499,0.8159109354019165,12,,,,
,5549,0.777611255645752,12,,,,
,5599,0.5765026807785034,12,,,,
,5649,0.7450752258300781,12,,,,
,5699,0.7247142791748047,12,,,,
,5749,0.6283853054046631,12,,,,
,5799,0.7512675523757935,12,,,,
,5849,0.6252180337905884,12,,,,
,5899,0.7380714416503906,12,,,,
,5940,,12,0.9221493601799011,0.6625882387161255,,
,5940,,12,,,0.6911223530769348,0.7522500157356262
0.0001,5941,,,,,,
,5949,0.7342527508735657,13,,,,
,5999,0.778441846370697,13,,,,
,6049,0.7660203576087952,13,,,,
,6099,0.6846663951873779,13,,,,
,6149,0.6411540508270264,13,,,,
,6199,0.5455811619758606,13,,,,
,6249,0.7022453546524048,13,,,,
,6299,0.6909459829330444,13,,,,
,6349,0.6860376596450806,13,,,,
,6397,,13,0.9240490198135376,0.6618931293487549,,
,6397,,13,,,0.6758463382720947,0.7577366232872009
1e-05,6398,,,,,,
,6399,0.6841016411781311,14,,,,
,6449,0.5961444973945618,14,,,,
,6499,0.6463726758956909,14,,,,
,6549,0.7736552953720093,14,,,,
,6599,0.8818916082382202,14,,,,
,6649,0.591742992401123,14,,,,
,6699,0.5945340394973755,14,,,,
,6749,0.6626604199409485,14,,,,
,6799,0.5193048715591431,14,,,,
,6849,0.7886884212493896,14,,,,
,6854,,14,0.9166595935821533,0.6645969152450562,,
,6854,,14,,,0.6549395322799683,0.7652162313461304
1e-05,6855,,,,,,
,6899,0.6261377334594727,15,,,,
,6949,0.6158978343009949,15,,,,
,6999,0.6099861860275269,15,,,,
,7049,0.6265165209770203,15,,,,
,7099,0.791229248046875,15,,,,
,7149,0.7306076288223267,15,,,,
,7199,0.652932345867157,15,,,,
,7249,0.806692898273468,15,,,,
,7299,0.6009554266929626,15,,,,
,7311,,15,0.9240178465843201,0.6619045734405518,,
,7311,,15,,,0.6509878635406494,0.7666000723838806
